,verified_income,debt_to_income,inquiries_last_12m,accounts_opened_24m,num_active_debit_accounts,total_debit_limit,num_mort_accounts,account_never_delinq_percent,loan_amount,term,issue_month,loan_status,initial_listing_status,disbursement_method,paid_interest,interest_rate
38,0,18.53,2.0,3.0,1.0,19600.0,0.0,100.0,9500.0,36,1,1,1,0,381.67,10.42
39,1,7.1,0.0,1.0,1.0,18800.0,1.0,100.0,30000.0,36,0,1,1,0,1175.16,12.61
40,0,24.79,0.0,2.0,2.0,3000.0,1.0,100.0,10000.0,60,1,1,1,0,726.62,18.06
41,1,15.72,7.0,4.0,2.0,23900.0,3.0,100.0,15000.0,60,0,1,1,0,568.43,11.99
42,1,14.82,0.0,5.0,3.0,27700.0,3.0,96.6,35000.0,60,1,1,1,0,1644.42,15.05
43,1,25.89,1.0,4.0,2.0,8300.0,0.0,100.0,10000.0,36,0,1,1,0,476.5,15.05
44,1,13.51,2.0,9.0,2.0,34300.0,2.0,100.0,36000.0,60,0,1,1,0,1624.02,12.62
45,0,10.71,4.0,7.0,2.0,16800.0,3.0,96.7,15000.0,36,1,1,1,0,387.56,6.72
46,0,3.76,0.0,4.0,4.0,78300.0,1.0,100.0,20000.0,36,2,1,1,0,205.94,6.71
47,2,25.7,0.0,1.0,5.0,10300.0,2.0,100.0,4500.0,36,0,1,1,0,214.43,15.05
48,0,3.76,0.0,1.0,2.0,17000.0,0.0,100.0,16000.0,60,1,1,1,0,635.9,9.93
49,1,17.24,2.0,5.0,3.0,32000.0,2.0,97.4,10000.0,36,1,1,1,0,329.08,10.42
50,2,18.72,6.0,10.0,8.0,40150.0,2.0,76.0,20000.0,60,0,1,1,0,1480.88,21.45
51,0,19.64,1.0,10.0,2.0,33700.0,0.0,100.0,20600.0,60,1,1,1,0,1644.42,21.45
52,1,9.12,0.0,2.0,3.0,32300.0,0.0,100.0,35000.0,60,0,1,1,0,1644.42,15.05
53,1,22.91,0.0,1.0,1.0,23000.0,3.0,100.0,10000.0,36,2,1,1,0,144.52,6.07
54,0,21.41,1.0,4.0,1.0,14800.0,3.0,100.0,12000.0,36,2,1,1,0,173.42,6.07
55,1,13.05,0.0,0.0,1.0,2500.0,1.0,80.0,3200.0,36,2,1,1,0,72.25,17.47
56,2,20.16,4.0,9.0,6.0,49600.0,1.0,100.0,15000.0,36,2,1,1,0,262.26,7.34
57,2,37.2325,7.0,9.0,8.0,40600.0,1.0,100.0,20000.0,36,0,1,1,0,859.88,13.59
58,0,14.62,2.0,9.0,5.0,56300.0,2.0,100.0,6000.0,36,1,1,1,0,128.19,6.72
59,0,11.64,1.0,10.0,8.0,28500.0,0.0,100.0,10000.0,36,0,1,1,1,167.21,6.07
60,2,12.15,7.0,3.0,4.0,25600.0,2.0,96.2,25000.0,36,1,1,0,0,970.61,9.93
61,1,12.58,0.0,3.0,4.0,17000.0,2.0,86.4,10000.0,36,2,1,1,0,236.53,9.92
62,0,16.73,0.0,0.0,4.0,51100.0,0.0,100.0,6000.0,36,0,1,0,0,186.46,9.93
63,2,28.13,1.0,8.0,2.0,33000.0,5.0,96.4,20000.0,60,2,1,1,0,664.05,14.07
64,1,7.89,1.0,6.0,4.0,54000.0,0.0,100.0,15000.0,36,0,1,1,0,370.4,7.97
65,0,15.42,0.0,3.0,2.0,57700.0,2.0,94.3,20000.0,36,2,1,0,0,252.77,6.07
66,0,32.4,1.0,4.0,5.0,16850.0,0.0,93.0,10500.0,60,0,1,1,0,334.98,9.93
67,1,17.28,2.0,8.0,6.0,12300.0,1.0,100.0,11400.0,60,1,1,1,0,561.34,14.08
68,0,32.06,0.0,1.0,5.0,66400.0,3.0,100.0,5500.0,36,2,1,0,0,165.54,12.61
69,1,3.76,1.0,2.0,2.0,2500.0,0.0,75.0,5000.0,36,1,1,0,0,241.94,12.62
70,1,22.09,6.0,7.0,2.0,2500.0,3.0,76.9,9600.0,36,2,1,1,0,391.66,17.47
71,1,16.26,2.0,10.0,8.0,22000.0,0.0,100.0,15000.0,36,1,1,0,0,741.57,12.62
72,1,8.72,0.0,1.0,2.0,25000.0,0.0,100.0,10000.0,36,2,1,1,0,156.06,6.71
73,1,16.3,1.0,3.0,1.0,10000.0,0.0,100.0,10450.0,60,2,1,1,0,456.98,19.42
74,1,16.04,3.0,8.0,2.0,14800.0,1.0,100.0,7200.0,36,0,1,1,0,287.31,12.62
75,0,28.42,0.0,0.0,4.0,20300.0,4.0,100.0,35000.0,60,1,1,1,0,1644.42,14.08
76,2,21.94,1.0,6.0,3.0,2700.0,0.0,100.0,4200.0,36,1,1,0,0,167.83,10.91
77,2,19.22,3.0,2.0,3.0,10600.0,0.0,100.0,3200.0,36,0,1,1,0,100.24,17.47
78,2,37.2325,1.0,7.0,8.0,22300.0,1.0,100.0,12800.0,36,1,1,1,0,765.15,18.06
79,2,15.44,2.0,10.0,5.0,20700.0,2.0,100.0,8000.0,36,1,1,0,0,496.15,16.02
80,2,18.39,3.0,4.0,2.0,12400.0,1.0,90.0,30000.0,36,0,1,0,0,1644.42,19.03
81,1,27.23,7.0,8.0,2.0,7900.0,1.0,95.2,7000.0,36,1,1,0,0,341.16,12.62
82,1,11.14,2.0,5.0,3.0,43500.0,2.0,100.0,25000.0,36,0,1,1,0,478.07,6.07
83,1,3.76,3.0,8.0,3.0,35600.0,2.0,100.0,36000.0,60,2,1,1,0,1097.77,9.43
84,2,17.44,1.0,3.0,3.0,63500.0,4.0,100.0,24000.0,60,1,1,1,0,945.69,10.42
85,0,11.45,2.0,6.0,5.0,29600.0,0.0,100.0,5000.0,36,2,1,1,0,92.62,7.96
86,0,21.09,5.0,9.0,4.0,78804.49999999994,4.0,97.7,36000.0,60,1,1,1,0,1644.42,13.59
87,1,34.86,1.0,8.0,3.0,26700.0,1.0,100.0,15000.0,60,2,1,1,0,482.42,15.04
88,1,13.77,1.0,9.0,3.0,11800.0,0.0,76.2,5000.0,36,2,1,1,0,150.49,12.61
89,1,9.61,3.0,3.0,5.0,11900.0,1.0,75.0,7000.0,36,2,1,1,1,132.75,7.96
90,1,24.39,4.0,3.0,1.0,24500.0,1.0,100.0,17450.0,60,2,1,1,0,598.61,13.58
91,1,5.16,6.0,6.0,5.0,20500.0,1.0,81.8,30000.0,60,2,1,1,0,769.42,16.01
92,2,28.53,1.0,5.0,7.0,77500.0,3.0,100.0,15000.0,36,0,1,0,0,1073.26,21.45
93,0,20.74,7.0,7.0,8.0,60000.0,1.0,100.0,20000.0,36,1,1,1,0,609.25,7.97
94,0,12.22,3.0,4.0,4.0,7600.0,0.0,85.7,15000.0,60,1,1,1,0,1089.92,18.06
95,0,15.84,0.0,5.0,3.0,62000.0,2.0,100.0,12000.0,36,1,1,1,0,246.06,6.08
96,1,3.82,0.0,0.0,1.0,27200.0,0.0,100.0,16500.0,36,0,1,1,0,276.41,6.07
97,0,15.48,2.0,9.0,6.0,39100.0,1.0,100.0,19200.0,36,0,1,1,1,321.65,6.07
98,1,14.16,2.0,3.0,6.0,32500.0,2.0,100.0,7050.0,36,1,1,1,0,273.71,9.93
99,2,37.2325,2.0,3.0,7.0,14700.0,2.0,96.0,15000.0,60,0,1,1,0,968.42,20.0
100,0,13.27,0.0,2.0,3.0,20800.0,1.0,81.8,11200.0,36,0,1,1,0,524.31,15.05
101,1,16.72,7.0,7.0,6.0,15600.0,1.0,100.0,8000.0,36,2,1,1,0,148.18,7.96
102,1,18.5,2.0,8.0,4.0,20000.0,2.0,95.1,20000.0,60,2,1,1,0,1268.1,21.45
103,0,15.28,6.0,7.0,4.0,16600.0,3.0,100.0,10800.0,60,1,1,1,0,407.92,9.44
104,0,19.05,7.0,3.0,1.0,3000.0,3.0,87.8,7200.0,36,0,1,1,0,339.46,13.59
105,1,26.96,0.0,0.0,5.0,7900.0,0.0,100.0,12000.0,36,2,1,0,0,421.11,15.04
106,0,21.63,2.0,7.0,4.0,46900.0,3.0,100.0,20000.0,36,2,1,1,1,252.77,6.07
107,2,24.77,7.0,7.0,2.0,9500.0,0.0,100.0,7200.0,36,0,2,1,0,318.18,14.08
108,1,18.36,2.0,2.0,1.0,2500.0,0.0,100.0,6000.0,36,1,1,0,0,319.65,13.59
109,0,18.92,0.0,5.0,3.0,8300.0,0.0,100.0,5000.0,36,0,1,1,0,123.46,7.97
110,1,14.66,2.0,7.0,1.0,36600.0,0.0,100.0,16000.0,60,1,1,1,0,635.9,9.93
111,1,29.58,0.0,3.0,3.0,22300.0,4.0,93.3,15600.0,36,1,1,1,0,369.76,6.08
112,0,37.2325,0.0,1.0,6.0,48400.0,0.0,100.0,10000.0,60,0,1,1,0,553.26,21.45
113,1,13.49,2.0,8.0,1.0,2500.0,0.0,83.3,10000.0,36,0,1,1,0,323.29,10.42
114,1,29.36,0.0,0.0,3.0,34900.0,0.0,75.0,30000.0,36,2,1,1,0,1253.05,17.47
115,1,3.76,0.0,3.0,5.0,20200.0,0.0,100.0,30000.0,36,2,1,1,0,502.24,10.9
116,0,18.67,0.0,4.0,3.0,26400.0,5.0,100.0,16000.0,36,1,1,1,0,373.83,6.08
117,0,25.23,1.0,5.0,1.0,11500.0,0.0,95.7,20000.0,36,2,1,1,0,587.93,12.61
118,2,27.56,2.0,5.0,3.0,14300.0,2.0,85.0,6275.0,36,0,1,0,0,468.01,21.45
119,2,26.88,2.0,10.0,5.0,30600.0,2.0,100.0,15000.0,36,0,1,1,0,949.34,18.06
120,1,21.45,0.0,8.0,3.0,28500.0,5.0,100.0,16000.0,60,1,1,1,0,872.42,13.59
121,1,15.3,3.0,9.0,2.0,2500.0,0.0,100.0,10000.0,36,0,3,1,0,369.47,16.02
122,2,16.13,2.0,10.0,1.0,24500.0,2.0,100.0,25000.0,36,0,1,1,0,783.81,9.93
123,1,3.76,2.0,4.0,2.0,13800.0,0.0,100.0,12000.0,36,2,1,1,0,283.84,9.92
124,0,18.55,1.0,1.0,2.0,5800.0,0.0,100.0,6000.0,36,1,1,1,0,172.09,7.35
125,1,9.19,2.0,6.0,3.0,38500.0,3.0,75.0,12000.0,36,0,1,1,0,413.58,10.91
126,1,8.46,1.0,4.0,2.0,12300.0,1.0,100.0,10000.0,60,0,1,1,0,426.09,13.59
127,1,9.8,0.0,3.0,3.0,11000.0,0.0,100.0,20000.0,36,2,1,1,0,671.99,14.07
128,0,11.62,6.0,1.0,3.0,12700.0,2.0,90.9,8500.0,36,2,1,1,1,148.61,7.34
129,2,24.31,1.0,7.0,6.0,45200.0,4.0,100.0,36000.0,60,0,1,1,0,1644.42,15.05
130,2,14.66,0.0,4.0,4.0,11000.0,3.0,75.0,36000.0,36,0,1,1,0,832.2,6.72
131,1,22.73,1.0,7.0,3.0,37800.0,3.0,100.0,9000.0,36,2,1,1,0,344.33,16.01
132,0,9.91,0.0,2.0,5.0,46500.0,0.0,95.2,7200.0,36,2,1,1,0,84.04,7.34
133,0,29.47,4.0,4.0,1.0,4500.0,0.0,100.0,6100.0,36,0,1,0,0,455.15,21.45
134,0,27.68,1.0,2.0,1.0,22000.0,0.0,100.0,3200.0,36,1,1,1,0,130.54,15.05
135,0,4.25,0.0,2.0,1.0,12600.0,0.0,100.0,10000.0,36,0,1,1,0,211.79,6.72
136,1,16.97,3.0,9.0,6.0,42200.0,0.0,100.0,25000.0,36,0,1,0,0,1644.42,21.45
137,2,19.44,1.0,10.0,2.0,11800.0,1.0,100.0,16000.0,60,0,2,1,0,72.25,21.45
138,0,6.06,2.0,0.0,4.0,51200.0,0.0,85.2,32000.0,60,1,1,1,0,1644.42,14.08
139,2,17.25,1.0,7.0,4.0,20300.0,1.0,100.0,12000.0,36,0,2,1,0,72.25,15.05
140,0,23.33,0.0,5.0,4.0,31900.0,0.0,100.0,10000.0,36,1,1,1,0,297.97,9.44
141,2,33.19,2.0,4.0,3.0,3700.0,0.0,75.0,3200.0,36,0,1,0,0,111.85,17.09
142,0,19.93,1.0,3.0,3.0,6300.0,0.0,100.0,4800.0,36,2,1,0,0,194.31,16.01
143,1,15.31,2.0,4.0,1.0,15400.0,2.0,100.0,35000.0,60,2,1,1,0,899.3,10.9
144,0,22.88,2.0,2.0,3.0,26000.0,0.0,89.5,35000.0,36,1,1,1,0,1644.42,12.62
145,2,14.4,2.0,1.0,2.0,6000.0,0.0,100.0,10000.0,60,0,1,1,0,692.84,21.45
146,1,6.11,3.0,3.0,1.0,4300.0,1.0,100.0,3200.0,36,2,1,1,0,72.25,10.41
147,0,18.65,0.0,4.0,4.0,46100.0,3.0,95.0,19600.0,36,1,1,1,0,406.26,6.07
148,2,27.08,2.0,7.0,1.0,17300.0,2.0,95.0,26000.0,60,2,1,1,0,1343.81,21.45
149,0,11.73,3.0,3.0,8.0,27300.0,1.0,100.0,12000.0,60,1,1,1,0,853.88,18.06
150,1,7.82,2.0,6.0,1.0,39900.0,3.0,100.0,13000.0,36,0,1,1,0,217.79,6.07
151,1,18.88,3.0,5.0,2.0,25700.0,0.0,97.1,11750.0,60,0,1,1,0,663.95,17.09
152,1,20.78,1.0,2.0,4.0,20700.0,2.0,100.0,30000.0,60,2,1,1,0,800.22,9.93
153,1,19.42,1.0,2.0,1.0,15300.0,0.0,100.0,7000.0,36,0,1,1,1,134.08,6.08
155,0,3.76,2.0,6.0,1.0,13000.0,0.0,81.8,35000.0,36,2,1,1,0,1307.91,16.01
156,0,8.56,0.0,0.0,3.0,22300.0,0.0,100.0,10000.0,60,0,1,1,0,437.42,13.59
157,1,14.16,2.0,3.0,2.0,29300.0,1.0,100.0,20000.0,36,2,1,1,0,473.06,9.92
158,1,12.89,2.0,2.0,1.0,2500.0,1.0,75.0,36000.0,60,2,1,1,0,1453.55,15.04
159,0,9.92,3.0,9.0,3.0,25100.0,5.0,92.9,12000.0,36,2,1,1,1,191.76,6.71
160,1,7.2,0.0,1.0,2.0,2500.0,0.0,100.0,16000.0,36,2,1,1,0,714.88,17.47
161,1,27.06,2.0,4.0,3.0,17400.0,0.0,95.7,10000.0,36,1,1,1,0,519.45,11.99
162,1,13.3,1.0,1.0,5.0,16100.0,0.0,75.0,10000.0,36,0,1,1,0,429.94,13.59
163,0,24.99,7.0,8.0,5.0,60500.0,1.0,100.0,15000.0,36,1,1,1,0,426.58,7.35
164,1,3.76,4.0,6.0,3.0,35100.0,1.0,75.0,24000.0,60,1,1,1,0,980.42,10.42
165,1,16.72,0.0,1.0,2.0,25500.0,2.0,84.6,36000.0,36,0,1,1,0,987.73,7.97
166,0,10.62,1.0,1.0,4.0,59500.0,3.0,92.6,25000.0,60,2,1,1,0,396.88,9.92
167,2,37.2325,0.0,3.0,4.0,50400.0,1.0,100.0,32175.0,36,2,1,1,0,945.83,12.61
168,0,14.23,1.0,9.0,5.0,34600.0,1.0,100.0,25000.0,60,1,1,1,0,979.81,9.93
169,0,21.79,1.0,0.0,3.0,16500.0,3.0,100.0,24000.0,60,2,1,1,0,796.87,14.07
170,1,5.96,0.0,4.0,2.0,6000.0,0.0,75.0,15000.0,60,0,1,1,0,679.95,14.08
171,1,22.49,2.0,6.0,1.0,36000.0,3.0,92.1,36000.0,60,1,1,1,0,1644.42,12.62
172,1,17.28,3.0,10.0,8.0,78804.49999999994,0.0,100.0,20000.0,60,1,1,1,0,1260.79,16.02
173,0,29.38,7.0,7.0,4.0,26800.0,3.0,92.3,30000.0,60,0,1,1,0,1019.53,14.07
174,1,24.57,2.0,4.0,2.0,3000.0,2.0,100.0,11000.0,36,0,1,0,0,475.06,18.06
175,0,21.3,1.0,5.0,3.0,26200.0,0.0,94.7,15000.0,60,1,1,1,0,847.65,14.08
176,1,8.63,0.0,1.0,5.0,22200.0,1.0,100.0,13500.0,60,0,1,1,0,684.89,16.02
177,1,8.66,0.0,3.0,1.0,7000.0,3.0,100.0,10000.0,60,1,1,1,0,480.56,11.99
178,0,26.49,0.0,4.0,8.0,70400.0,1.0,100.0,25000.0,36,0,2,1,0,477.71,6.72
179,1,8.37,7.0,3.0,2.0,7100.0,0.0,100.0,25000.0,60,1,2,1,0,1644.42,19.03
180,1,11.33,0.0,3.0,2.0,37800.0,0.0,100.0,28000.0,36,2,1,1,0,447.42,6.71
181,0,15.48,0.0,2.0,3.0,24400.0,0.0,100.0,10000.0,36,2,1,0,0,154.64,6.07
182,1,16.95,0.0,8.0,2.0,12000.0,1.0,85.0,10000.0,36,1,1,1,0,313.07,7.35
183,0,27.93,1.0,8.0,6.0,19100.0,0.0,100.0,10000.0,36,0,1,0,0,429.94,13.59
184,1,5.87,1.0,3.0,2.0,18900.0,0.0,100.0,3200.0,36,1,1,1,0,130.36,13.59
185,0,12.42,0.0,1.0,3.0,27500.0,2.0,100.0,6500.0,36,2,1,1,0,89.82,6.07
186,1,13.04,2.0,4.0,1.0,3000.0,1.0,100.0,10000.0,36,1,2,1,0,220.62,7.97
187,1,37.2325,3.0,10.0,2.0,18800.0,4.0,100.0,14500.0,36,1,1,1,0,409.96,7.35
188,2,11.88,2.0,4.0,3.0,7600.0,0.0,100.0,36000.0,36,1,1,1,0,1644.42,11.99
189,0,25.41,3.0,9.0,7.0,29500.0,0.0,95.0,16000.0,36,0,1,1,0,811.95,16.02
190,1,9.33,0.0,1.0,2.0,14100.0,0.0,100.0,14000.0,36,1,1,1,0,435.2,9.93
191,0,27.74,5.0,10.0,6.0,26500.0,0.0,95.7,10000.0,36,0,2,0,0,447.78,19.42
192,0,23.01,0.0,6.0,8.0,44700.0,2.0,100.0,3200.0,36,2,1,1,0,72.25,7.96
193,1,10.83,0.0,0.0,1.0,17000.0,2.0,92.3,17000.0,36,1,1,0,0,905.67,13.59
194,2,37.2325,7.0,5.0,2.0,8000.0,0.0,100.0,24000.0,36,2,1,0,0,753.62,12.61
195,2,18.09,5.0,5.0,1.0,7500.0,4.0,82.1,20000.0,36,0,1,0,0,1207.5,19.03
196,1,7.08,6.0,10.0,8.0,26700.0,0.0,100.0,30000.0,36,2,1,0,0,1147.75,16.01
197,0,3.76,0.0,0.0,2.0,15000.0,0.0,100.0,3600.0,36,1,1,0,0,94.36,6.72
198,0,25.33,1.0,6.0,2.0,37200.0,2.0,100.0,20000.0,36,2,1,1,0,268.81,6.07
199,1,23.92,0.0,3.0,4.0,8300.0,2.0,76.5,8000.0,36,1,1,0,0,472.47,15.05
200,1,29.72,0.0,2.0,3.0,23800.0,0.0,100.0,16000.0,36,2,1,1,1,225.83,6.07
201,2,22.66,2.0,10.0,8.0,57200.0,3.0,100.0,24000.0,36,2,1,1,0,778.16,13.58
202,1,5.68,1.0,1.0,1.0,6500.0,0.0,100.0,3200.0,36,0,1,1,0,72.25,10.42
203,1,9.73,0.0,2.0,3.0,4800.0,0.0,87.5,3200.0,36,2,1,1,0,72.25,11.98
204,1,3.76,0.0,5.0,1.0,29100.0,0.0,91.3,6500.0,36,2,1,1,0,142.72,9.43
205,0,37.2325,3.0,10.0,8.0,25400.0,0.0,100.0,8000.0,36,0,1,0,0,395.29,16.02
206,2,25.43,0.0,3.0,1.0,2500.0,0.0,100.0,7000.0,36,0,1,1,0,400.89,18.06
207,1,3.76,1.0,6.0,2.0,78500.0,0.0,100.0,25000.0,60,2,1,1,0,761.09,12.61
208,1,22.92,1.0,8.0,7.0,35900.0,1.0,100.0,15000.0,60,2,1,1,0,561.03,14.07
209,1,27.71,4.0,3.0,4.0,49300.0,1.0,89.5,35000.0,36,1,1,1,0,1377.8,10.42
210,1,14.04,2.0,4.0,1.0,4000.0,3.0,84.6,26000.0,36,1,1,0,0,1059.62,10.42
211,1,11.79,1.0,4.0,3.0,24900.0,1.0,100.0,12000.0,60,2,1,1,0,495.25,17.47
212,0,30.54,1.0,2.0,1.0,8000.0,0.0,100.0,10000.0,60,1,1,1,1,436.96,10.91
213,0,18.63,0.0,3.0,3.0,49100.0,2.0,100.0,15000.0,36,1,1,1,0,306.48,6.07
214,0,18.39,3.0,5.0,2.0,18200.0,3.0,75.0,14000.0,60,1,1,1,0,528.78,9.44
215,1,27.84,1.0,2.0,4.0,26800.0,5.0,95.5,15000.0,36,2,1,1,0,337.56,9.44
216,0,9.24,0.0,0.0,3.0,16200.0,0.0,93.3,10000.0,36,0,1,0,0,437.74,14.08
217,0,14.31,1.0,3.0,4.0,18200.0,0.0,95.7,5000.0,36,1,1,1,0,141.37,7.35
218,0,14.39,1.0,3.0,3.0,56200.0,0.0,100.0,28125.0,60,1,1,1,0,1403.47,12.62
219,2,22.04,1.0,7.0,5.0,9400.0,0.0,100.0,10000.0,36,2,1,1,0,350.93,15.04
220,1,3.76,3.0,1.0,1.0,10000.0,2.0,100.0,10000.0,60,2,1,1,0,261.32,9.92
221,2,15.81,3.0,10.0,4.0,64400.0,4.0,86.7,36000.0,60,2,1,1,0,1051.99,10.9
222,0,27.6,4.0,2.0,3.0,26700.0,0.0,100.0,10000.0,36,2,1,1,0,160.04,6.72
223,2,29.12,0.0,3.0,1.0,19300.0,0.0,100.0,8000.0,36,0,1,1,0,128.29,6.07
224,2,7.57,1.0,1.0,1.0,3000.0,0.0,100.0,35000.0,60,1,5,1,0,1012.92,11.99
225,1,10.67,1.0,2.0,3.0,78804.49999999994,2.0,100.0,20000.0,36,0,1,1,0,326.18,6.07
226,2,31.61,0.0,3.0,2.0,23500.0,0.0,100.0,9000.0,36,2,1,1,0,213.18,10.41
227,1,8.7,1.0,3.0,3.0,6000.0,0.0,100.0,20000.0,60,2,1,1,0,450.65,14.07
228,0,15.05,1.0,8.0,4.0,55900.0,0.0,100.0,3200.0,36,0,1,1,0,72.25,6.07
229,2,28.96,0.0,3.0,4.0,9200.0,0.0,100.0,8000.0,36,1,1,1,0,275.09,9.93
230,1,3.76,7.0,1.0,5.0,4100.0,1.0,100.0,10000.0,36,2,1,1,0,216.34,11.99
231,2,12.9,2.0,4.0,1.0,2900.0,1.0,94.4,5000.0,36,2,1,1,0,79.9,6.71
232,0,16.57,2.0,2.0,8.0,78804.49999999994,3.0,91.4,15000.0,36,0,1,1,0,189.58,6.07
233,0,18.03,1.0,4.0,5.0,32000.0,0.0,95.8,10000.0,60,0,1,1,0,437.42,13.59
234,1,10.92,3.0,2.0,3.0,15000.0,0.0,100.0,36000.0,36,0,1,1,0,1148.97,10.9
235,1,5.59,2.0,6.0,4.0,14200.0,0.0,88.2,3200.0,36,1,1,1,0,119.72,12.62
236,0,27.02,2.0,2.0,2.0,9100.0,0.0,100.0,3200.0,36,1,1,1,0,72.25,10.42
237,0,24.38,4.0,4.0,7.0,40000.0,3.0,100.0,28000.0,36,0,1,1,0,1334.2,15.05
238,0,11.45,0.0,3.0,3.0,21300.0,0.0,100.0,8000.0,36,0,1,1,0,162.73,6.71
239,1,28.8,1.0,4.0,4.0,22500.0,0.0,100.0,20000.0,60,0,1,1,0,1385.7,21.45
240,1,11.12,3.0,3.0,7.0,78804.49999999994,3.0,100.0,36000.0,36,2,1,1,1,1015.55,9.44
241,2,13.47,6.0,10.0,5.0,29200.0,2.0,94.9,11000.0,36,0,1,1,0,410.71,11.99
242,0,16.93,0.0,5.0,4.0,8600.0,0.0,92.9,3300.0,36,1,1,1,0,154.93,11.99
243,0,14.43,1.0,5.0,4.0,72800.0,5.0,100.0,15000.0,36,2,1,1,0,216.77,6.07
244,1,16.08,0.0,1.0,3.0,23500.0,1.0,100.0,11500.0,36,0,1,1,1,188.9,6.07
